id,name
1145,bedroom pop
1146,austindie
1147,rumba congolaise
1148,american metalcore
1149,mexican post-rock
1150,batida
1151,duluth indie
1152,bergen indie
1153,calming instrumental
1154,graz indie
1155,gypsy punk
1156,duranguense
1157,north carolina emo
1158,scandinavian r&b
1159,balalaika
1160,merengue tipico
1161,deep liquid
1162,anime latino
1163,christian uplift
1164,hokkien pop
1165,sludgecore
1166,kirtan
1167,classic danish pop
1168,florida rap
1169,western saharan folk
1170,colombian indie
1171,skramz
1172,folk
1173,german metalcore
1174,reggaeton
1175,piano rock
1176,orquesta tropical
1177,experimental folk
1178,art rock
1179,substep
1180,indonesian indie rock
1181,ambient psychill
1182,argentine indie
1183,ambient worship
1184,german electronica
1185,german blues
1186,german punk rock
1187,polish classical
1188,polish death metal
1189,hard stoner rock
1190,ecuadorian indie
1191,tucson indie
1192,vlaamse cabaret
1193,classify
1194,neo-trad doom metal
1195,disco house
1196,welsh indie
1197,swedish tropical house
1198,queercore
1199,turkish alternative rock
1200,folk brasileiro
1201,progressive uplifting trance
1202,gothic symphonic metal
1203,spanish folk
1204,canadian comedy
1205,chinese hip hop
1206,anthem worship
1207,canadian soundtrack
1208,scottish fiddle
1209,tone
1210,experimental
1211,gothic post-punk
1212,jazz trombone
1213,japanese psychedelic
1214,asbury park indie
1215,malaysian mandopop
1216,deep tech house
1217,mexican pop
1218,screamocore
1219,baltic classical
1220,kiwi rock
1221,colombian black metal
1222,hawaiian
1223,alberta country
1224,gothabilly
1225,italian post punk
1226,bajki
1227,rhythm and blues
1228,classic italian folk pop
1229,indonesian post-hardcore
1230,baithak gana
1231,grindcore
1232,judaica
1233,korean classical performance
1234,hungarian rock
1235,basshall
1236,ambient idm
1237,uk americana
1238,japanese new wave
1239,hardstyle
1240,underground latin hip hop
1241,rock kapak
1242,slovak pop
1243,albanian pop
1244,euskal rock
1245,brazilian death metal
1246,instrumental progressive metal
1247,polish underground hip hop
1248,electroclash
1249,dutch trap
1250,nu-metalcore
1251,opm
1252,canadian psychedelic
1253,pinoy r&b
1254,lexington ky indie
1255,dutch experimental
1256,ambient black metal
1257,wind quintet
1258,power pop
1259,fort worth indie
1260,irish classical
1261,symphonic power metal
1262,australian country
1263,copla
1264,sertanejo tradicional
1265,folk punk
1266,essex indie
1267,arkansas country
1268,turkish psych
1269,kelowna bc indie
1270,unblack metal
1271,experimental jazz
1272,bible
1273,sambass
1274,son cubano
1275,neurofunk
1276,azeri pop
1277,carnatic vocal
1278,ska mexicano
1279,power thrash
1280,rap conscient
1281,russian dance
1282,ghent indie
1283,deep dance pop
1284,gaita zuliana
1285,classical contralto
1286,swedish post-hardcore
1287,persian traditional
1288,oakland indie
1289,japanese vocal jazz
1290,big room
1291,rare groove
1292,family gospel
1293,polish metal
1294,zim urban groove
1295,nintendocore
1296,indonesian metal
1297,brooklyn indie
1298,world worship
1299,lovecraftian metal
1300,jazz piano
1301,deep pop edm
1302,traditional country
1303,champeta
1304,trio huasteco
1305,navajo
1306,orlando indie
1307,nordic folk
1308,rock alternativo espanol
1309,comedienne
1310,rock en asturiano
1311,instrumental funk
1312,chill guitar
1313,jugendchor
1314,drone metal
1315,uk drill
1316,classical mezzo-soprano
1317,chihuahua indie
1318,musica ayacuchana
1319,rap sardegna
1320,memphis hip hop
1321,spiritual jazz
1322,comedy
1323,musica occitana
1324,r&b argentino
1325,forest psy
1326,english renaissance
1327,emo
1328,polish black metal
1329,southern rock
1330,modern country rock
1331,brazilian post-hardcore
1332,antiviral pop
1333,baile pop
1334,experimental indie
1335,covertrance
1336,classic iskelma
1337,scottish rock
1338,sarod
1339,newcastle indie
1340,lds
1341,swedish trap
1342,vapor soul
1343,orgcore
1344,southern americana
1345,alternative pop
1346,iskelma
1347,pornogrind
1348,russian rock
1349,brisbane indie
1350,salsa peruana
1351,baja indie
1352,punk catala
1353,bhangra
1354,mahraganat
1355,deep discofox
1356,papuri
1357,cyber metal
1358,technical thrash
1359,magyar alternative
1360,kurdish folk
1361,shamisen
1362,halifax indie
1363,classic schlager
1364,el paso indie
1365,flamenco guitar
1366,surf music
1367,contrabass
1368,italian black metal
1369,deep new wave
1370,veracruz indie
1371,country road
1372,black sludge
1373,russian electronic
1374,american romanticism
1375,bachata
1376,turkish classical
1377,axe
1378,classical bass
1379,cape town indie
1380,boy band
1381,austropop
1382,batak
1383,swedish prog
1384,nz metal
1385,edmonton indie
1386,azeri traditional
1387,anime
1388,modern progressive rock
1389,reading
1390,sleaze rock
1391,vintage chinese pop
1392,psychedelic folk
1393,sacramento indie
1394,french techno
1395,pop reggaeton
1396,classical horn
1397,epic doom
1398,post-punk argentina
1399,black death
1400,cuarteto
1401,nueva ola chilena
1402,experimental vocal
1403,hard glam
1404,deathstep
1405,otacore
1406,latin classical
1407,glam punk
1408,asmr
1409,west coast trap
1410,deep soul house
1411,faroese indie
1412,japanese indie folk
1413,uk post-punk revival
1414,london rap
1415,brazilian techno
1416,estonian pop
1417,vancouver metal
1418,brighton indie
1419,polish punk
1420,elektropunk
1421,edinburgh indie
1422,british modern classical
1423,wind ensemble
1424,traditional british folk
1425,electronica cristiana
1426,entehno
1427,french movie tunes
1428,traditional ska
1429,czech pop
1430,art pop
1431,newfoundland indie
1432,rosario indie
1433,icelandic hip hop
1434,adelaide indie
1435,indie curitibano
1436,indonesian pop punk
1437,jacksonville indie
1438,jazz funk
1439,philly indie
1440,etherpop
1441,scratch
